23.11.2009;160.00
30.11.2009;-463.00
07.12.2009;840.00
14.12.2009;-275.00
21.12.2009;776.00
28.12.2009;-215.00
11.01.2010;97.00
18.01.2010;402.00
25.01.2010;-313.00
01.02.2010;643.00
08.02.2010;-527.00
15.02.2010;-193.00
24.02.2010;-104.00
01.03.2010;261.00
09.03.2010;159.00
15.03.2010;-64.00
22.03.2010;378.00
29.03.2010;-190.00
05.04.2010;57.00
12.04.2010;109.00
19.04.2010;-30.00
26.04.2010;388.00
04.05.2010;1164.00
11.05.2010;763.00
17.05.2010;-56.00
24.05.2010;704.00
31.05.2010;156.00
07.06.2010;1.00
15.06.2010;-360.00
21.06.2010;-416.00
28.06.2010;-416.00
05.07.2010;-163.00
12.07.2010;262.00
19.07.2010;211.00
26.07.2010;-149.00
02.08.2010;92.00
09.08.2010;701.00
16.08.2010;2.00
23.08.2010;-155.00
30.08.2010;-246.00
06.09.2010;442.00
13.09.2010;271.00
20.09.2010;-142.00
27.09.2010;207.00
04.10.2010;832.00
11.10.2010;316.00
18.10.2010;674.00
25.10.2010;308.00
01.11.2010;120.00
08.11.2010;-162.00
15.11.2010;-12.00
22.11.2010;140.00
29.11.2010;-304.00
06.12.2010;-399.00
13.12.2010;135.00
20.12.2010;349.00
27.12.2010;-95.00
11.01.2011;217.00
17.01.2011;-69.00
24.01.2011;36.00
31.01.2011;392.00
07.02.2011;96.00
14.02.2011;177.00
21.02.2011;215.00
28.02.2011;609.00
09.03.2011;349.00
14.03.2011;-506.00
21.03.2011;-121.00
28.03.2011;18.00
04.04.2011;263.00
11.04.2011;-317.00
18.04.2011;9.00
25.04.2011;205.00
03.05.2011;215.00
10.05.2011;207.00
16.05.2011;-305.00
23.05.2011;625.00
30.05.2011;-348.00
06.06.2011;268.00
14.06.2011;-68.00
20.06.2011;-92.00
27.06.2011;-360.00
04.07.2011;-118.00
11.07.2011;564.00
18.07.2011;316.00
25.07.2011;29.00
01.08.2011;457.00
08.08.2011;1332.00
15.08.2011;268.00
22.08.2011;-546.00
29.08.2011;-277.00
05.09.2011;368.00
12.09.2011;498.00
19.09.2011;-312.00
26.09.2011;349.00
03.10.2011;397.00
10.10.2011;-80.00
17.10.2011;340.00
24.10.2011;897.00
31.10.2011;-170.00
07.11.2011;692.00
14.11.2011;-692.00
21.11.2011;657.00
28.11.2011;-454.00
05.12.2011;-481.00
12.12.2011;678.00
19.12.2011;701.00
26.12.2011;-466.00
03.01.2012;-197.00
09.01.2012;31.00
16.01.2012;457.00
23.01.2012;953.00
30.01.2012;2.00
06.02.2012;10.00
13.02.2012;-166.00
20.02.2012;212.00
27.02.2012;-221.00
05.03.2012;-103.00
11.03.2012;215.00
19.03.2012;-207.00
26.03.2012;346.00
02.04.2012;-238.00
09.04.2012;35.00
16.04.2012;-201.00
23.04.2012;-40.00
02.05.2012;108.00
07.05.2012;285.00
14.05.2012;780.00
21.05.2012;480.00
28.05.2012;1120.00
04.06.2012;242.00
13.06.2012;-446.00
18.06.2012;571.00
25.06.2012;-23.00
02.07.2012;568.00
12.07.2012;-303.00
16.07.2012;327.00
23.07.2012;757.00
30.07.2012;-271.00
06.08.2012;-127.00
13.08.2012;-241.00
20.08.2012;-589.00
27.08.2012;-85.00
08.01.2013;1591.00
14.01.2013;-392.00
21.01.2013;246.00
28.01.2013;170.00
04.02.2013;70.00
11.02.2013;-80.00
18.02.2013;290.00
25.02.2013;-225.00
04.03.2013;-40.00
11.03.2013;567.00
18.03.2013;-274.00
25.03.2013;-76.00
02.09.2013;1379.00
09.09.2013;41.00
16.09.2013;364.00
23.09.2013;16.00
30.09.2013;138.00
07.10.2013;-77.00
14.10.2013;375.00
21.10.2013;252.00
28.10.2013;586.00
05.11.2013;279.00
11.11.2013;-208.00
18.11.2013;-321.00
25.11.2013;-168.00
01.04.2014;2276.00
07.04.2014;-887.00
14.04.2014;212.00
21.04.2014;-477.00
28.04.2014;117.00
05.05.2014;583.00
12.05.2014;-475.00
19.05.2014;431.00
26.05.2014;333.00
02.06.2014;300.00
09.06.2014;-48.00
16.06.2014;932.00
23.06.2014;32.00
30.06.2014;302.00
07.07.2014;652.00
14.07.2014;711.00
21.07.2014;-651.00
28.07.2014;240.00
04.08.2014;374.00
11.08.2014;-382.00
18.08.2014;-438.00
25.08.2014;129.00
01.09.2014;-378.00
08.09.2014;101.00
15.09.2014;351.00
22.09.2014;-354.00
29.09.2014;411.00
06.10.2014;240.00
13.10.2014;-527.00
20.10.2014;494.00
27.10.2014;1800.00
03.11.2014;2680.00
10.11.2014;1186.00
